[Seed 4] Epoch 001 | Train Loss: 1.9919 | Val Loss: 1.9177 | Val AUPRC: 0.0310 | Val ROC-AUC: 0.7347
[Seed 4] Epoch 002 | Train Loss: 1.9223 | Val Loss: 1.9031 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7407
[Seed 4] Epoch 003 | Train Loss: 1.9076 | Val Loss: 1.9069 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7394
[Seed 4] Epoch 004 | Train Loss: 1.8939 | Val Loss: 1.8917 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7431
[Seed 4] Epoch 005 | Train Loss: 1.8883 | Val Loss: 1.8872 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7439
[Seed 4] Epoch 006 | Train Loss: 1.8842 | Val Loss: 1.8892 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7453
[Seed 4] Epoch 007 | Train Loss: 1.8766 | Val Loss: 1.8849 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7456
[Seed 4] Epoch 008 | Train Loss: 1.8733 | Val Loss: 1.8817 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7464
[Seed 4] Epoch 009 | Train Loss: 1.8695 | Val Loss: 1.8775 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7475
[Seed 4] Epoch 010 | Train Loss: 1.8696 | Val Loss: 1.8758 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7480
[Seed 4] Epoch 011 | Train Loss: 1.8607 | Val Loss: 1.8721 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7483
[Seed 4] Epoch 012 | Train Loss: 1.8637 | Val Loss: 1.8726 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7488
[Seed 4] Epoch 013 | Train Loss: 1.8579 | Val Loss: 1.8728 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7497
[Seed 4] Epoch 014 | Train Loss: 1.8583 | Val Loss: 1.8699 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7496
[Seed 4] Epoch 015 | Train Loss: 1.8634 | Val Loss: 1.8697 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7488
[Seed 4] Epoch 016 | Train Loss: 1.8566 | Val Loss: 1.8797 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7482
[Seed 4] Epoch 017 | Train Loss: 1.8572 | Val Loss: 1.8748 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7497
[Seed 4] Epoch 018 | Train Loss: 1.8518 | Val Loss: 1.8805 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7491
[Seed 4] Epoch 019 | Train Loss: 1.8512 | Val Loss: 1.8672 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7505
[Seed 4] Epoch 020 | Train Loss: 1.8495 | Val Loss: 1.8706 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7505
