[Seed 3] Epoch 001 | Train Loss: 2.0272 | Val Loss: 1.9301 | Val AUPRC: 0.0282 | Val ROC-AUC: 0.7262
[Seed 3] Epoch 002 | Train Loss: 1.9347 | Val Loss: 1.9254 | Val AUPRC: 0.0300 | Val ROC-AUC: 0.7335
[Seed 3] Epoch 003 | Train Loss: 1.9143 | Val Loss: 1.9084 | Val AUPRC: 0.0309 | Val ROC-AUC: 0.7369
[Seed 3] Epoch 004 | Train Loss: 1.8999 | Val Loss: 1.9038 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7396
[Seed 3] Epoch 005 | Train Loss: 1.8933 | Val Loss: 1.9029 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7401
[Seed 3] Epoch 006 | Train Loss: 1.8897 | Val Loss: 1.8913 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7427
[Seed 3] Epoch 007 | Train Loss: 1.8827 | Val Loss: 1.8881 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7439
[Seed 3] Epoch 008 | Train Loss: 1.8766 | Val Loss: 1.8874 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7438
[Seed 3] Epoch 009 | Train Loss: 1.8743 | Val Loss: 1.8967 | Val AUPRC: 0.0326 | Val ROC-AUC: 0.7439
[Seed 3] Epoch 010 | Train Loss: 1.8736 | Val Loss: 1.8834 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7445
[Seed 3] Epoch 011 | Train Loss: 1.8686 | Val Loss: 1.8816 | Val AUPRC: 0.0326 | Val ROC-AUC: 0.7447
[Seed 3] Epoch 012 | Train Loss: 1.8662 | Val Loss: 1.8829 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7457
[Seed 3] Epoch 013 | Train Loss: 1.8664 | Val Loss: 1.8807 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7457
[Seed 3] Epoch 014 | Train Loss: 1.8628 | Val Loss: 1.8796 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7454
[Seed 3] Epoch 015 | Train Loss: 1.8623 | Val Loss: 1.8822 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7462
[Seed 3] Epoch 016 | Train Loss: 1.8600 | Val Loss: 1.8784 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7469
[Seed 3] Epoch 017 | Train Loss: 1.8525 | Val Loss: 1.8814 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7468
[Seed 3] Epoch 018 | Train Loss: 1.8538 | Val Loss: 1.8762 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7467
[Seed 3] Epoch 019 | Train Loss: 1.8561 | Val Loss: 1.8770 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7463
[Seed 3] Epoch 020 | Train Loss: 1.8609 | Val Loss: 1.8717 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7477
