[Seed 4] Epoch 001 | Train Loss: 2.0682 | Val Loss: 1.9664 | Val AUPRC: 0.0313 | Val ROC-AUC: 0.7381
[Seed 4] Epoch 002 | Train Loss: 1.9134 | Val Loss: 1.9119 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7446
[Seed 4] Epoch 003 | Train Loss: 1.8936 | Val Loss: 1.8925 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7460
[Seed 4] Epoch 004 | Train Loss: 1.8825 | Val Loss: 1.8825 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7491
[Seed 4] Epoch 005 | Train Loss: 1.8637 | Val Loss: 1.8877 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7479
[Seed 4] Epoch 006 | Train Loss: 1.8635 | Val Loss: 1.8731 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7510
[Seed 4] Epoch 007 | Train Loss: 1.8547 | Val Loss: 1.8890 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7502
[Seed 4] Epoch 008 | Train Loss: 1.8475 | Val Loss: 1.8840 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7521
[Seed 4] Epoch 009 | Train Loss: 1.8469 | Val Loss: 1.8778 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7506
[Seed 4] Epoch 010 | Train Loss: 1.8395 | Val Loss: 1.8967 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7516
[Seed 4] Epoch 011 | Train Loss: 1.8363 | Val Loss: 1.8820 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7511
[Seed 4] Epoch 012 | Train Loss: 1.8354 | Val Loss: 1.8994 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7518
[Seed 4] Epoch 013 | Train Loss: 1.8286 | Val Loss: 1.8775 | Val AUPRC: 0.0354 | Val ROC-AUC: 0.7518
[Seed 4] Epoch 014 | Train Loss: 1.8273 | Val Loss: 1.8864 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7530
[Seed 4] Epoch 015 | Train Loss: 1.8223 | Val Loss: 1.8758 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7530
[Seed 4] Epoch 016 | Train Loss: 1.8200 | Val Loss: 1.8712 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7536
[Seed 4] Epoch 017 | Train Loss: 1.8148 | Val Loss: 1.8853 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7499
[Seed 4] Epoch 018 | Train Loss: 1.8172 | Val Loss: 1.8921 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7513
[Seed 4] Epoch 019 | Train Loss: 1.8117 | Val Loss: 1.8811 | Val AUPRC: 0.0359 | Val ROC-AUC: 0.7535
[Seed 4] Epoch 020 | Train Loss: 1.8107 | Val Loss: 1.8799 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7524
