[Seed 5] Epoch 001 | Train Loss: 2.0207 | Val Loss: 1.9221 | Val AUPRC: 0.0313 | Val ROC-AUC: 0.7387
[Seed 5] Epoch 002 | Train Loss: 1.9082 | Val Loss: 1.8892 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7470
[Seed 5] Epoch 003 | Train Loss: 1.8909 | Val Loss: 1.8827 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7485
[Seed 5] Epoch 004 | Train Loss: 1.8772 | Val Loss: 1.8756 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7496
[Seed 5] Epoch 005 | Train Loss: 1.8660 | Val Loss: 1.8945 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7514
[Seed 5] Epoch 006 | Train Loss: 1.8630 | Val Loss: 1.8713 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7516
[Seed 5] Epoch 007 | Train Loss: 1.8578 | Val Loss: 1.8705 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7505
[Seed 5] Epoch 008 | Train Loss: 1.8499 | Val Loss: 1.8653 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7520
[Seed 5] Epoch 009 | Train Loss: 1.8492 | Val Loss: 1.8826 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7509
[Seed 5] Epoch 010 | Train Loss: 1.8413 | Val Loss: 1.8735 | Val AUPRC: 0.0355 | Val ROC-AUC: 0.7533
[Seed 5] Epoch 011 | Train Loss: 1.8415 | Val Loss: 1.8765 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7500
[Seed 5] Epoch 012 | Train Loss: 1.8372 | Val Loss: 1.8723 | Val AUPRC: 0.0356 | Val ROC-AUC: 0.7538
[Seed 5] Epoch 013 | Train Loss: 1.8294 | Val Loss: 1.8710 | Val AUPRC: 0.0357 | Val ROC-AUC: 0.7533
[Seed 5] Epoch 014 | Train Loss: 1.8285 | Val Loss: 1.8725 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7537
[Seed 5] Epoch 015 | Train Loss: 1.8279 | Val Loss: 1.8667 | Val AUPRC: 0.0358 | Val ROC-AUC: 0.7547
[Seed 5] Epoch 016 | Train Loss: 1.8191 | Val Loss: 1.8765 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7521
[Seed 5] Epoch 017 | Train Loss: 1.8183 | Val Loss: 1.8664 | Val AUPRC: 0.0359 | Val ROC-AUC: 0.7547
[Seed 5] Epoch 018 | Train Loss: 1.8159 | Val Loss: 1.8795 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7526
[Seed 5] Epoch 019 | Train Loss: 1.8135 | Val Loss: 1.8706 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7521
[Seed 5] Epoch 020 | Train Loss: 1.8074 | Val Loss: 1.8787 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7544
