[Seed 2] Epoch 001 | Train Loss: 2.0174 | Val Loss: 1.9205 | Val AUPRC: 0.0318 | Val ROC-AUC: 0.7357
[Seed 2] Epoch 002 | Train Loss: 1.9303 | Val Loss: 1.9070 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7404
[Seed 2] Epoch 003 | Train Loss: 1.9006 | Val Loss: 1.8962 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7433
[Seed 2] Epoch 004 | Train Loss: 1.8962 | Val Loss: 1.8945 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7441
[Seed 2] Epoch 005 | Train Loss: 1.8931 | Val Loss: 1.8901 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7444
[Seed 2] Epoch 006 | Train Loss: 1.8821 | Val Loss: 1.8909 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7466
[Seed 2] Epoch 007 | Train Loss: 1.8770 | Val Loss: 1.8814 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7470
[Seed 2] Epoch 008 | Train Loss: 1.8709 | Val Loss: 1.8849 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7479
[Seed 2] Epoch 009 | Train Loss: 1.8719 | Val Loss: 1.8779 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7481
[Seed 2] Epoch 010 | Train Loss: 1.8635 | Val Loss: 1.8738 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7487
[Seed 2] Epoch 011 | Train Loss: 1.8617 | Val Loss: 1.8750 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7499
[Seed 2] Epoch 012 | Train Loss: 1.8591 | Val Loss: 1.8759 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7494
[Seed 2] Epoch 013 | Train Loss: 1.8590 | Val Loss: 1.8725 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7492
[Seed 2] Epoch 014 | Train Loss: 1.8591 | Val Loss: 1.8730 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7501
[Seed 2] Epoch 015 | Train Loss: 1.8551 | Val Loss: 1.8725 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7507
[Seed 2] Epoch 016 | Train Loss: 1.8528 | Val Loss: 1.8667 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7512
[Seed 2] Epoch 017 | Train Loss: 1.8522 | Val Loss: 1.8736 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7509
[Seed 2] Epoch 018 | Train Loss: 1.8516 | Val Loss: 1.8739 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7507
[Seed 2] Epoch 019 | Train Loss: 1.8522 | Val Loss: 1.8733 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7515
[Seed 2] Epoch 020 | Train Loss: 1.8480 | Val Loss: 1.8744 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7513
