[Seed 4] Epoch 001 | Train Loss: 2.0310 | Val Loss: 1.9211 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7360
[Seed 4] Epoch 002 | Train Loss: 1.9281 | Val Loss: 1.9022 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7421
[Seed 4] Epoch 003 | Train Loss: 1.9060 | Val Loss: 1.8987 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7433
[Seed 4] Epoch 004 | Train Loss: 1.8980 | Val Loss: 1.8885 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7441
[Seed 4] Epoch 005 | Train Loss: 1.8870 | Val Loss: 1.8902 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7454
[Seed 4] Epoch 006 | Train Loss: 1.8868 | Val Loss: 1.8853 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7463
[Seed 4] Epoch 007 | Train Loss: 1.8793 | Val Loss: 1.8812 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7474
[Seed 4] Epoch 008 | Train Loss: 1.8739 | Val Loss: 1.8796 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7487
[Seed 4] Epoch 009 | Train Loss: 1.8727 | Val Loss: 1.8793 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7484
[Seed 4] Epoch 010 | Train Loss: 1.8677 | Val Loss: 1.8743 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7478
[Seed 4] Epoch 011 | Train Loss: 1.8669 | Val Loss: 1.8754 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7488
[Seed 4] Epoch 012 | Train Loss: 1.8605 | Val Loss: 1.8749 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7498
[Seed 4] Epoch 013 | Train Loss: 1.8602 | Val Loss: 1.8698 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7502
[Seed 4] Epoch 014 | Train Loss: 1.8587 | Val Loss: 1.8765 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7504
[Seed 4] Epoch 015 | Train Loss: 1.8531 | Val Loss: 1.8705 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7515
[Seed 4] Epoch 016 | Train Loss: 1.8523 | Val Loss: 1.8780 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7509
[Seed 4] Epoch 017 | Train Loss: 1.8566 | Val Loss: 1.8736 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7516
[Seed 4] Epoch 018 | Train Loss: 1.8530 | Val Loss: 1.8759 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7510
[Seed 4] Epoch 019 | Train Loss: 1.8522 | Val Loss: 1.8727 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7518
[Seed 4] Epoch 020 | Train Loss: 1.8491 | Val Loss: 1.8796 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7520
