[Seed 5] Epoch 001 | Train Loss: 2.1011 | Val Loss: 1.9732 | Val AUPRC: 0.0266 | Val ROC-AUC: 0.7134
[Seed 5] Epoch 002 | Train Loss: 1.9844 | Val Loss: 1.9397 | Val AUPRC: 0.0298 | Val ROC-AUC: 0.7268
[Seed 5] Epoch 003 | Train Loss: 1.9574 | Val Loss: 1.9218 | Val AUPRC: 0.0310 | Val ROC-AUC: 0.7325
[Seed 5] Epoch 004 | Train Loss: 1.9393 | Val Loss: 1.9144 | Val AUPRC: 0.0315 | Val ROC-AUC: 0.7355
[Seed 5] Epoch 005 | Train Loss: 1.9275 | Val Loss: 1.9099 | Val AUPRC: 0.0318 | Val ROC-AUC: 0.7368
[Seed 5] Epoch 006 | Train Loss: 1.9266 | Val Loss: 1.9153 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7376
[Seed 5] Epoch 007 | Train Loss: 1.9153 | Val Loss: 1.9082 | Val AUPRC: 0.0320 | Val ROC-AUC: 0.7382
[Seed 5] Epoch 008 | Train Loss: 1.9108 | Val Loss: 1.9027 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7396
[Seed 5] Epoch 009 | Train Loss: 1.9076 | Val Loss: 1.9080 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7403
[Seed 5] Epoch 010 | Train Loss: 1.9025 | Val Loss: 1.9020 | Val AUPRC: 0.0320 | Val ROC-AUC: 0.7392
[Seed 5] Epoch 011 | Train Loss: 1.9011 | Val Loss: 1.9097 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7412
[Seed 5] Epoch 012 | Train Loss: 1.8985 | Val Loss: 1.9002 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7409
[Seed 5] Epoch 013 | Train Loss: 1.8980 | Val Loss: 1.8986 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7410
[Seed 5] Epoch 014 | Train Loss: 1.8912 | Val Loss: 1.8966 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7419
[Seed 5] Epoch 015 | Train Loss: 1.8886 | Val Loss: 1.9039 | Val AUPRC: 0.0326 | Val ROC-AUC: 0.7423
[Seed 5] Epoch 016 | Train Loss: 1.8842 | Val Loss: 1.8869 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7431
[Seed 5] Epoch 017 | Train Loss: 1.8899 | Val Loss: 1.8922 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7427
[Seed 5] Epoch 018 | Train Loss: 1.8892 | Val Loss: 1.8991 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7437
[Seed 5] Epoch 019 | Train Loss: 1.8834 | Val Loss: 1.8907 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7441
[Seed 5] Epoch 020 | Train Loss: 1.8850 | Val Loss: 1.8911 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7437
