[Seed 3] Epoch 001 | Train Loss: 2.0859 | Val Loss: 1.9702 | Val AUPRC: 0.0266 | Val ROC-AUC: 0.7113
[Seed 3] Epoch 002 | Train Loss: 1.9783 | Val Loss: 1.9465 | Val AUPRC: 0.0280 | Val ROC-AUC: 0.7206
[Seed 3] Epoch 003 | Train Loss: 1.9535 | Val Loss: 1.9345 | Val AUPRC: 0.0289 | Val ROC-AUC: 0.7263
[Seed 3] Epoch 004 | Train Loss: 1.9419 | Val Loss: 1.9200 | Val AUPRC: 0.0299 | Val ROC-AUC: 0.7303
[Seed 3] Epoch 005 | Train Loss: 1.9313 | Val Loss: 1.9135 | Val AUPRC: 0.0309 | Val ROC-AUC: 0.7344
[Seed 3] Epoch 006 | Train Loss: 1.9228 | Val Loss: 1.9110 | Val AUPRC: 0.0314 | Val ROC-AUC: 0.7364
[Seed 3] Epoch 007 | Train Loss: 1.9117 | Val Loss: 1.9016 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7380
[Seed 3] Epoch 008 | Train Loss: 1.9062 | Val Loss: 1.9007 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7393
[Seed 3] Epoch 009 | Train Loss: 1.8984 | Val Loss: 1.8978 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7402
[Seed 3] Epoch 010 | Train Loss: 1.9001 | Val Loss: 1.8948 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7412
[Seed 3] Epoch 011 | Train Loss: 1.8982 | Val Loss: 1.8948 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7415
[Seed 3] Epoch 012 | Train Loss: 1.8968 | Val Loss: 1.8926 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7415
[Seed 3] Epoch 013 | Train Loss: 1.8910 | Val Loss: 1.8961 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7415
[Seed 3] Epoch 014 | Train Loss: 1.8922 | Val Loss: 1.8957 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7428
[Seed 3] Epoch 015 | Train Loss: 1.8935 | Val Loss: 1.8907 | Val AUPRC: 0.0326 | Val ROC-AUC: 0.7423
[Seed 3] Epoch 016 | Train Loss: 1.8890 | Val Loss: 1.8949 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7420
[Seed 3] Epoch 017 | Train Loss: 1.8881 | Val Loss: 1.8904 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7427
[Seed 3] Epoch 018 | Train Loss: 1.8882 | Val Loss: 1.8902 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7431
[Seed 3] Epoch 019 | Train Loss: 1.8853 | Val Loss: 1.8875 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7435
[Seed 3] Epoch 020 | Train Loss: 1.8842 | Val Loss: 1.8901 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7421
