[Seed 2] Epoch 001 | Train Loss: 2.1821 | Val Loss: 1.9665 | Val AUPRC: 0.0285 | Val ROC-AUC: 0.7189
[Seed 2] Epoch 002 | Train Loss: 1.9902 | Val Loss: 1.9311 | Val AUPRC: 0.0308 | Val ROC-AUC: 0.7319
[Seed 2] Epoch 003 | Train Loss: 1.9527 | Val Loss: 1.9153 | Val AUPRC: 0.0318 | Val ROC-AUC: 0.7360
[Seed 2] Epoch 004 | Train Loss: 1.9398 | Val Loss: 1.9067 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7388
[Seed 2] Epoch 005 | Train Loss: 1.9323 | Val Loss: 1.9017 | Val AUPRC: 0.0326 | Val ROC-AUC: 0.7398
[Seed 2] Epoch 006 | Train Loss: 1.9299 | Val Loss: 1.8978 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7410
[Seed 2] Epoch 007 | Train Loss: 1.9234 | Val Loss: 1.8949 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7422
[Seed 2] Epoch 008 | Train Loss: 1.9158 | Val Loss: 1.8925 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7425
[Seed 2] Epoch 009 | Train Loss: 1.9111 | Val Loss: 1.8896 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7441
[Seed 2] Epoch 010 | Train Loss: 1.9096 | Val Loss: 1.8883 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7438
[Seed 2] Epoch 011 | Train Loss: 1.9085 | Val Loss: 1.8844 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7444
[Seed 2] Epoch 012 | Train Loss: 1.9003 | Val Loss: 1.8845 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7448
[Seed 2] Epoch 013 | Train Loss: 1.9048 | Val Loss: 1.8861 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7463
[Seed 2] Epoch 014 | Train Loss: 1.9036 | Val Loss: 1.8814 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7469
[Seed 2] Epoch 015 | Train Loss: 1.8976 | Val Loss: 1.8797 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7465
[Seed 2] Epoch 016 | Train Loss: 1.8968 | Val Loss: 1.8784 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7476
[Seed 2] Epoch 017 | Train Loss: 1.8937 | Val Loss: 1.8752 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7476
[Seed 2] Epoch 018 | Train Loss: 1.8944 | Val Loss: 1.8757 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7479
[Seed 2] Epoch 019 | Train Loss: 1.8926 | Val Loss: 1.8723 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7479
[Seed 2] Epoch 020 | Train Loss: 1.8889 | Val Loss: 1.8721 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7485
