[Seed 5] Epoch 001 | Train Loss: 2.1785 | Val Loss: 1.9592 | Val AUPRC: 0.0285 | Val ROC-AUC: 0.7199
[Seed 5] Epoch 002 | Train Loss: 1.9642 | Val Loss: 1.9258 | Val AUPRC: 0.0305 | Val ROC-AUC: 0.7316
[Seed 5] Epoch 003 | Train Loss: 1.9422 | Val Loss: 1.9158 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7364
[Seed 5] Epoch 004 | Train Loss: 1.9275 | Val Loss: 1.9065 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7397
[Seed 5] Epoch 005 | Train Loss: 1.9219 | Val Loss: 1.9007 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7414
[Seed 5] Epoch 006 | Train Loss: 1.9121 | Val Loss: 1.8959 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7430
[Seed 5] Epoch 007 | Train Loss: 1.9053 | Val Loss: 1.8921 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7448
[Seed 5] Epoch 008 | Train Loss: 1.9037 | Val Loss: 1.8908 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7455
[Seed 5] Epoch 009 | Train Loss: 1.8986 | Val Loss: 1.8891 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7463
[Seed 5] Epoch 010 | Train Loss: 1.9022 | Val Loss: 1.8858 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7465
[Seed 5] Epoch 011 | Train Loss: 1.8915 | Val Loss: 1.8825 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7480
[Seed 5] Epoch 012 | Train Loss: 1.8945 | Val Loss: 1.8821 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7481
[Seed 5] Epoch 013 | Train Loss: 1.8901 | Val Loss: 1.8826 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7480
[Seed 5] Epoch 014 | Train Loss: 1.8891 | Val Loss: 1.8785 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7489
[Seed 5] Epoch 015 | Train Loss: 1.8890 | Val Loss: 1.8786 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7492
[Seed 5] Epoch 016 | Train Loss: 1.8811 | Val Loss: 1.8763 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7499
[Seed 5] Epoch 017 | Train Loss: 1.8878 | Val Loss: 1.8745 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7501
[Seed 5] Epoch 018 | Train Loss: 1.8830 | Val Loss: 1.8791 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7499
[Seed 5] Epoch 019 | Train Loss: 1.8825 | Val Loss: 1.8776 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7495
[Seed 5] Epoch 020 | Train Loss: 1.8820 | Val Loss: 1.8752 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7501
