[Seed 3] Epoch 001 | Train Loss: 2.5997 | Val Loss: 2.4646 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 002 | Train Loss: 2.3842 | Val Loss: 2.3209 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 003 | Train Loss: 2.2871 | Val Loss: 2.2613 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 004 | Train Loss: 2.2495 | Val Loss: 2.2408 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 005 | Train Loss: 2.2375 | Val Loss: 2.2348 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 006 | Train Loss: 2.2344 | Val Loss: 2.2336 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 007 | Train Loss: 2.2339 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 008 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 009 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 010 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 011 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 012 | Train Loss: 2.2337 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 013 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 014 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 015 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 016 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 017 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 018 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 019 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 3] Epoch 020 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
