[Seed 3] Epoch 001 | Train Loss: 1.9383 | Val Loss: 1.9249 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7436
[Seed 3] Epoch 002 | Train Loss: 1.8768 | Val Loss: 1.9111 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7442
[Seed 3] Epoch 003 | Train Loss: 1.8634 | Val Loss: 1.8794 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7484
[Seed 3] Epoch 004 | Train Loss: 1.8637 | Val Loss: 1.8707 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7507
[Seed 3] Epoch 005 | Train Loss: 1.8523 | Val Loss: 1.8818 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7484
[Seed 3] Epoch 006 | Train Loss: 1.8493 | Val Loss: 1.8742 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7493
[Seed 3] Epoch 007 | Train Loss: 1.8497 | Val Loss: 1.8745 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7512
[Seed 3] Epoch 008 | Train Loss: 1.8422 | Val Loss: 1.8712 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7500
[Seed 3] Epoch 009 | Train Loss: 1.8434 | Val Loss: 1.8671 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7504
[Seed 3] Epoch 010 | Train Loss: 1.8407 | Val Loss: 1.8751 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7510
[Seed 3] Epoch 011 | Train Loss: 1.8387 | Val Loss: 1.8684 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7515
[Seed 3] Epoch 012 | Train Loss: 1.8359 | Val Loss: 1.8662 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7527
[Seed 3] Epoch 013 | Train Loss: 1.8354 | Val Loss: 1.8653 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7522
[Seed 3] Epoch 014 | Train Loss: 1.8358 | Val Loss: 1.8707 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7531
[Seed 3] Epoch 015 | Train Loss: 1.8295 | Val Loss: 1.8814 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7508
[Seed 3] Epoch 016 | Train Loss: 1.8319 | Val Loss: 1.8752 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7521
[Seed 3] Epoch 017 | Train Loss: 1.8272 | Val Loss: 1.8682 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7540
[Seed 3] Epoch 018 | Train Loss: 1.8258 | Val Loss: 1.8848 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7524
[Seed 3] Epoch 019 | Train Loss: 1.8239 | Val Loss: 1.8650 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7529
[Seed 3] Epoch 020 | Train Loss: 1.8198 | Val Loss: 1.8855 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7513
