[Seed 5] Epoch 001 | Train Loss: 1.9400 | Val Loss: 1.9037 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7429
[Seed 5] Epoch 002 | Train Loss: 1.8786 | Val Loss: 1.8847 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7467
[Seed 5] Epoch 003 | Train Loss: 1.8685 | Val Loss: 1.8765 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7492
[Seed 5] Epoch 004 | Train Loss: 1.8597 | Val Loss: 1.8856 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7495
[Seed 5] Epoch 005 | Train Loss: 1.8558 | Val Loss: 1.8713 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7508
[Seed 5] Epoch 006 | Train Loss: 1.8518 | Val Loss: 1.8698 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7500
[Seed 5] Epoch 007 | Train Loss: 1.8474 | Val Loss: 1.8708 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7502
[Seed 5] Epoch 008 | Train Loss: 1.8440 | Val Loss: 1.8768 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7515
[Seed 5] Epoch 009 | Train Loss: 1.8415 | Val Loss: 1.8673 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7514
[Seed 5] Epoch 010 | Train Loss: 1.8427 | Val Loss: 1.8763 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7518
[Seed 5] Epoch 011 | Train Loss: 1.8374 | Val Loss: 1.8843 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7505
[Seed 5] Epoch 012 | Train Loss: 1.8377 | Val Loss: 1.8679 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7518
[Seed 5] Epoch 013 | Train Loss: 1.8349 | Val Loss: 1.8688 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7518
[Seed 5] Epoch 014 | Train Loss: 1.8321 | Val Loss: 1.8694 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7526
[Seed 5] Epoch 015 | Train Loss: 1.8303 | Val Loss: 1.8647 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7535
[Seed 5] Epoch 016 | Train Loss: 1.8277 | Val Loss: 1.8659 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7532
[Seed 5] Epoch 017 | Train Loss: 1.8289 | Val Loss: 1.8690 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7519
[Seed 5] Epoch 018 | Train Loss: 1.8236 | Val Loss: 1.8686 | Val AUPRC: 0.0354 | Val ROC-AUC: 0.7541
[Seed 5] Epoch 019 | Train Loss: 1.8273 | Val Loss: 1.8720 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7512
[Seed 5] Epoch 020 | Train Loss: 1.8249 | Val Loss: 1.8647 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7535
