[Seed 2] Epoch 001 | Train Loss: 1.9385 | Val Loss: 1.8963 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7397
[Seed 2] Epoch 002 | Train Loss: 1.8772 | Val Loss: 1.8819 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7455
[Seed 2] Epoch 003 | Train Loss: 1.8658 | Val Loss: 1.8734 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7472
[Seed 2] Epoch 004 | Train Loss: 1.8592 | Val Loss: 1.8718 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7502
[Seed 2] Epoch 005 | Train Loss: 1.8530 | Val Loss: 1.8725 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7503
[Seed 2] Epoch 006 | Train Loss: 1.8534 | Val Loss: 1.8736 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7504
[Seed 2] Epoch 007 | Train Loss: 1.8469 | Val Loss: 1.8681 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7496
[Seed 2] Epoch 008 | Train Loss: 1.8451 | Val Loss: 1.8682 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7511
[Seed 2] Epoch 009 | Train Loss: 1.8410 | Val Loss: 1.8717 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7500
[Seed 2] Epoch 010 | Train Loss: 1.8367 | Val Loss: 1.8642 | Val AUPRC: 0.0355 | Val ROC-AUC: 0.7533
[Seed 2] Epoch 011 | Train Loss: 1.8399 | Val Loss: 1.8659 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7534
[Seed 2] Epoch 012 | Train Loss: 1.8349 | Val Loss: 1.8605 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7538
[Seed 2] Epoch 013 | Train Loss: 1.8345 | Val Loss: 1.8600 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7534
[Seed 2] Epoch 014 | Train Loss: 1.8331 | Val Loss: 1.8590 | Val AUPRC: 0.0355 | Val ROC-AUC: 0.7541
[Seed 2] Epoch 015 | Train Loss: 1.8303 | Val Loss: 1.8628 | Val AUPRC: 0.0359 | Val ROC-AUC: 0.7553
[Seed 2] Epoch 016 | Train Loss: 1.8259 | Val Loss: 1.8662 | Val AUPRC: 0.0355 | Val ROC-AUC: 0.7525
[Seed 2] Epoch 017 | Train Loss: 1.8255 | Val Loss: 1.8661 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7536
[Seed 2] Epoch 018 | Train Loss: 1.8234 | Val Loss: 1.8732 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7525
[Seed 2] Epoch 019 | Train Loss: 1.8242 | Val Loss: 1.8893 | Val AUPRC: 0.0353 | Val ROC-AUC: 0.7530
[Seed 2] Epoch 020 | Train Loss: 1.8224 | Val Loss: 1.8647 | Val AUPRC: 0.0356 | Val ROC-AUC: 0.7547
