[Seed 4] Epoch 001 | Train Loss: 1.9361 | Val Loss: 1.9060 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7419
[Seed 4] Epoch 002 | Train Loss: 1.8775 | Val Loss: 1.8907 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7436
[Seed 4] Epoch 003 | Train Loss: 1.8674 | Val Loss: 1.8718 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7502
[Seed 4] Epoch 004 | Train Loss: 1.8595 | Val Loss: 1.8885 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7484
[Seed 4] Epoch 005 | Train Loss: 1.8507 | Val Loss: 1.8770 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7479
[Seed 4] Epoch 006 | Train Loss: 1.8486 | Val Loss: 1.8787 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7490
[Seed 4] Epoch 007 | Train Loss: 1.8460 | Val Loss: 1.8810 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7476
[Seed 4] Epoch 008 | Train Loss: 1.8438 | Val Loss: 1.8692 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7501
[Seed 4] Epoch 009 | Train Loss: 1.8427 | Val Loss: 1.8750 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7507
[Seed 4] Epoch 010 | Train Loss: 1.8435 | Val Loss: 1.8732 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7523
[Seed 4] Epoch 011 | Train Loss: 1.8369 | Val Loss: 1.8728 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7531
[Seed 4] Epoch 012 | Train Loss: 1.8323 | Val Loss: 1.8785 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7493
[Seed 4] Epoch 013 | Train Loss: 1.8311 | Val Loss: 1.8797 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7487
[Seed 4] Epoch 014 | Train Loss: 1.8328 | Val Loss: 1.8678 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7522
[Seed 4] Epoch 015 | Train Loss: 1.8303 | Val Loss: 1.8613 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7531
[Seed 4] Epoch 016 | Train Loss: 1.8269 | Val Loss: 1.8667 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7528
[Seed 4] Epoch 017 | Train Loss: 1.8244 | Val Loss: 1.8705 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7531
[Seed 4] Epoch 018 | Train Loss: 1.8246 | Val Loss: 1.8636 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7537
[Seed 4] Epoch 019 | Train Loss: 1.8217 | Val Loss: 1.8690 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7508
[Seed 4] Epoch 020 | Train Loss: 1.8250 | Val Loss: 1.8709 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7532
