[Seed 5] Epoch 001 | Train Loss: 2.1378 | Val Loss: 1.9555 | Val AUPRC: 0.0289 | Val ROC-AUC: 0.7219
[Seed 5] Epoch 002 | Train Loss: 1.9778 | Val Loss: 1.9149 | Val AUPRC: 0.0312 | Val ROC-AUC: 0.7349
[Seed 5] Epoch 003 | Train Loss: 1.9524 | Val Loss: 1.9044 | Val AUPRC: 0.0324 | Val ROC-AUC: 0.7388
[Seed 5] Epoch 004 | Train Loss: 1.9339 | Val Loss: 1.8968 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7409
[Seed 5] Epoch 005 | Train Loss: 1.9252 | Val Loss: 1.8987 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7426
[Seed 5] Epoch 006 | Train Loss: 1.9173 | Val Loss: 1.8952 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7434
[Seed 5] Epoch 007 | Train Loss: 1.9139 | Val Loss: 1.8904 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7446
[Seed 5] Epoch 008 | Train Loss: 1.9102 | Val Loss: 1.8915 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7454
[Seed 5] Epoch 009 | Train Loss: 1.9071 | Val Loss: 1.8862 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7460
[Seed 5] Epoch 010 | Train Loss: 1.8996 | Val Loss: 1.8835 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7466
[Seed 5] Epoch 011 | Train Loss: 1.9035 | Val Loss: 1.8843 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7469
[Seed 5] Epoch 012 | Train Loss: 1.8995 | Val Loss: 1.8802 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7478
[Seed 5] Epoch 013 | Train Loss: 1.8943 | Val Loss: 1.8778 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7480
[Seed 5] Epoch 014 | Train Loss: 1.8942 | Val Loss: 1.8785 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7477
[Seed 5] Epoch 015 | Train Loss: 1.8952 | Val Loss: 1.8758 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7491
[Seed 5] Epoch 016 | Train Loss: 1.8876 | Val Loss: 1.8747 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7492
[Seed 5] Epoch 017 | Train Loss: 1.8885 | Val Loss: 1.8751 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7493
[Seed 5] Epoch 018 | Train Loss: 1.8827 | Val Loss: 1.8733 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7496
[Seed 5] Epoch 019 | Train Loss: 1.8846 | Val Loss: 1.8716 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7495
[Seed 5] Epoch 020 | Train Loss: 1.8813 | Val Loss: 1.8721 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7497
