[Seed 1] Epoch 001 | Train Loss: 2.0786 | Val Loss: 1.9439 | Val AUPRC: 0.0295 | Val ROC-AUC: 0.7293
[Seed 1] Epoch 002 | Train Loss: 1.9674 | Val Loss: 1.9135 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7385
[Seed 1] Epoch 003 | Train Loss: 1.9498 | Val Loss: 1.9040 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7402
[Seed 1] Epoch 001 | Train Loss: 2.0763 | Val Loss: 1.9420 | Val AUPRC: 0.0297 | Val ROC-AUC: 0.7304
[Seed 1] Epoch 002 | Train Loss: 1.9673 | Val Loss: 1.9124 | Val AUPRC: 0.0318 | Val ROC-AUC: 0.7377
[Seed 1] Epoch 003 | Train Loss: 1.9469 | Val Loss: 1.9029 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7410
[Seed 1] Epoch 004 | Train Loss: 1.9405 | Val Loss: 1.8960 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7415
[Seed 1] Epoch 005 | Train Loss: 1.9362 | Val Loss: 1.8915 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7428
[Seed 1] Epoch 006 | Train Loss: 1.9274 | Val Loss: 1.8922 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7433
[Seed 1] Epoch 007 | Train Loss: 1.9280 | Val Loss: 1.8885 | Val AUPRC: 0.0332 | Val ROC-AUC: 0.7443
[Seed 1] Epoch 008 | Train Loss: 1.9251 | Val Loss: 1.8872 | Val AUPRC: 0.0333 | Val ROC-AUC: 0.7442
[Seed 1] Epoch 009 | Train Loss: 1.9184 | Val Loss: 1.8856 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7447
[Seed 1] Epoch 010 | Train Loss: 1.9151 | Val Loss: 1.8804 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7454
[Seed 1] Epoch 011 | Train Loss: 1.9169 | Val Loss: 1.8819 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7453
[Seed 1] Epoch 012 | Train Loss: 1.9149 | Val Loss: 1.8806 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7464
[Seed 1] Epoch 013 | Train Loss: 1.9092 | Val Loss: 1.8784 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7467
[Seed 1] Epoch 014 | Train Loss: 1.9137 | Val Loss: 1.8798 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7476
[Seed 1] Epoch 015 | Train Loss: 1.9068 | Val Loss: 1.8765 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7480
[Seed 1] Epoch 016 | Train Loss: 1.9123 | Val Loss: 1.8761 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7480
[Seed 1] Epoch 017 | Train Loss: 1.9099 | Val Loss: 1.8767 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7485
[Seed 1] Epoch 018 | Train Loss: 1.9050 | Val Loss: 1.8722 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7492
[Seed 1] Epoch 019 | Train Loss: 1.9019 | Val Loss: 1.8697 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7493
[Seed 1] Epoch 020 | Train Loss: 1.9049 | Val Loss: 1.8743 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7491
