[Seed 2] Epoch 001 | Train Loss: 2.6019 | Val Loss: 2.4673 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 002 | Train Loss: 2.3861 | Val Loss: 2.3225 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 003 | Train Loss: 2.2879 | Val Loss: 2.2618 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 004 | Train Loss: 2.2497 | Val Loss: 2.2407 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 005 | Train Loss: 2.2374 | Val Loss: 2.2348 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 006 | Train Loss: 2.2344 | Val Loss: 2.2336 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 007 | Train Loss: 2.2338 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 008 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 009 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 010 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 011 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 012 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 013 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 014 | Train Loss: 2.2338 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 015 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 016 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 017 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 018 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 019 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 2] Epoch 020 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
