[Seed 4] Epoch 001 | Train Loss: 2.3096 | Val Loss: 2.0932 | Val AUPRC: 0.0256 | Val ROC-AUC: 0.6956
[Seed 4] Epoch 002 | Train Loss: 2.1548 | Val Loss: 2.0635 | Val AUPRC: 0.0283 | Val ROC-AUC: 0.7161
[Seed 4] Epoch 003 | Train Loss: 2.1336 | Val Loss: 2.0558 | Val AUPRC: 0.0296 | Val ROC-AUC: 0.7210
[Seed 4] Epoch 004 | Train Loss: 2.1229 | Val Loss: 2.0521 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7241
[Seed 4] Epoch 005 | Train Loss: 2.1185 | Val Loss: 2.0485 | Val AUPRC: 0.0310 | Val ROC-AUC: 0.7261
[Seed 4] Epoch 006 | Train Loss: 2.1136 | Val Loss: 2.0463 | Val AUPRC: 0.0314 | Val ROC-AUC: 0.7272
[Seed 4] Epoch 007 | Train Loss: 2.1069 | Val Loss: 2.0333 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7292
[Seed 4] Epoch 008 | Train Loss: 2.1122 | Val Loss: 2.0362 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7302
[Seed 4] Epoch 009 | Train Loss: 2.1045 | Val Loss: 2.0348 | Val AUPRC: 0.0317 | Val ROC-AUC: 0.7299
[Seed 4] Epoch 010 | Train Loss: 2.1012 | Val Loss: 2.0353 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7308
[Seed 4] Epoch 011 | Train Loss: 2.1106 | Val Loss: 2.0388 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7314
[Seed 4] Epoch 012 | Train Loss: 2.1052 | Val Loss: 2.0344 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7309
[Seed 4] Epoch 013 | Train Loss: 2.1031 | Val Loss: 2.0350 | Val AUPRC: 0.0319 | Val ROC-AUC: 0.7314
[Seed 4] Epoch 014 | Train Loss: 2.0989 | Val Loss: 2.0325 | Val AUPRC: 0.0322 | Val ROC-AUC: 0.7328
[Seed 4] Epoch 015 | Train Loss: 2.1030 | Val Loss: 2.0304 | Val AUPRC: 0.0322 | Val ROC-AUC: 0.7331
[Seed 4] Epoch 016 | Train Loss: 2.1048 | Val Loss: 2.0346 | Val AUPRC: 0.0321 | Val ROC-AUC: 0.7322
[Seed 4] Epoch 017 | Train Loss: 2.0966 | Val Loss: 2.0244 | Val AUPRC: 0.0321 | Val ROC-AUC: 0.7340
[Seed 4] Epoch 018 | Train Loss: 2.0988 | Val Loss: 2.0383 | Val AUPRC: 0.0321 | Val ROC-AUC: 0.7338
[Seed 4] Epoch 019 | Train Loss: 2.0956 | Val Loss: 2.0239 | Val AUPRC: 0.0320 | Val ROC-AUC: 0.7335
[Seed 4] Epoch 020 | Train Loss: 2.1088 | Val Loss: 2.0382 | Val AUPRC: 0.0322 | Val ROC-AUC: 0.7326
