[Seed 3] Epoch 001 | Train Loss: 2.6053 | Val Loss: 2.4475 | Val AUPRC: 0.0194 | Val ROC-AUC: 0.6676
[Seed 3] Epoch 002 | Train Loss: 2.3403 | Val Loss: 2.2328 | Val AUPRC: 0.0205 | Val ROC-AUC: 0.6836
[Seed 3] Epoch 003 | Train Loss: 2.1944 | Val Loss: 2.1208 | Val AUPRC: 0.0211 | Val ROC-AUC: 0.6917
[Seed 3] Epoch 004 | Train Loss: 2.1237 | Val Loss: 2.0623 | Val AUPRC: 0.0216 | Val ROC-AUC: 0.6970
[Seed 3] Epoch 005 | Train Loss: 2.0924 | Val Loss: 2.0343 | Val AUPRC: 0.0216 | Val ROC-AUC: 0.6971
[Seed 3] Epoch 006 | Train Loss: 2.0760 | Val Loss: 2.0142 | Val AUPRC: 0.0220 | Val ROC-AUC: 0.7012
[Seed 3] Epoch 007 | Train Loss: 2.0633 | Val Loss: 1.9994 | Val AUPRC: 0.0221 | Val ROC-AUC: 0.7022
[Seed 3] Epoch 008 | Train Loss: 2.0602 | Val Loss: 1.9953 | Val AUPRC: 0.0223 | Val ROC-AUC: 0.7038
[Seed 3] Epoch 009 | Train Loss: 2.0644 | Val Loss: 1.9965 | Val AUPRC: 0.0224 | Val ROC-AUC: 0.7048
[Seed 3] Epoch 010 | Train Loss: 2.0596 | Val Loss: 1.9914 | Val AUPRC: 0.0226 | Val ROC-AUC: 0.7070
[Seed 3] Epoch 011 | Train Loss: 2.0529 | Val Loss: 1.9774 | Val AUPRC: 0.0225 | Val ROC-AUC: 0.7056
[Seed 3] Epoch 012 | Train Loss: 2.0315 | Val Loss: 1.9655 | Val AUPRC: 0.0223 | Val ROC-AUC: 0.7038
[Seed 3] Epoch 013 | Train Loss: 2.0150 | Val Loss: 1.9608 | Val AUPRC: 0.0224 | Val ROC-AUC: 0.7046
[Seed 3] Epoch 014 | Train Loss: 2.0206 | Val Loss: 1.9579 | Val AUPRC: 0.0225 | Val ROC-AUC: 0.7056
[Seed 3] Epoch 015 | Train Loss: 2.0222 | Val Loss: 1.9647 | Val AUPRC: 0.0225 | Val ROC-AUC: 0.7060
[Seed 3] Epoch 016 | Train Loss: 2.0171 | Val Loss: 1.9553 | Val AUPRC: 0.0227 | Val ROC-AUC: 0.7076
[Seed 3] Epoch 017 | Train Loss: 2.0175 | Val Loss: 1.9528 | Val AUPRC: 0.0227 | Val ROC-AUC: 0.7075
[Seed 3] Epoch 018 | Train Loss: 2.0157 | Val Loss: 1.9577 | Val AUPRC: 0.0226 | Val ROC-AUC: 0.7069
[Seed 3] Epoch 019 | Train Loss: 2.0166 | Val Loss: 1.9586 | Val AUPRC: 0.0227 | Val ROC-AUC: 0.7076
[Seed 3] Epoch 020 | Train Loss: 2.0114 | Val Loss: 1.9561 | Val AUPRC: 0.0228 | Val ROC-AUC: 0.7079
