[Seed 1] Epoch 001 | Train Loss: 2.3609 | Val Loss: 2.1315 | Val AUPRC: 0.0228 | Val ROC-AUC: 0.6646
[Seed 1] Epoch 002 | Train Loss: 2.1388 | Val Loss: 2.0650 | Val AUPRC: 0.0283 | Val ROC-AUC: 0.7045
[Seed 1] Epoch 003 | Train Loss: 2.1164 | Val Loss: 2.0571 | Val AUPRC: 0.0291 | Val ROC-AUC: 0.7082
[Seed 1] Epoch 004 | Train Loss: 2.0991 | Val Loss: 2.0472 | Val AUPRC: 0.0293 | Val ROC-AUC: 0.7106
[Seed 1] Epoch 005 | Train Loss: 2.1010 | Val Loss: 2.0470 | Val AUPRC: 0.0294 | Val ROC-AUC: 0.7121
[Seed 1] Epoch 006 | Train Loss: 2.0962 | Val Loss: 2.0427 | Val AUPRC: 0.0297 | Val ROC-AUC: 0.7131
[Seed 1] Epoch 007 | Train Loss: 2.0917 | Val Loss: 2.0406 | Val AUPRC: 0.0297 | Val ROC-AUC: 0.7143
[Seed 1] Epoch 008 | Train Loss: 2.0894 | Val Loss: 2.0379 | Val AUPRC: 0.0298 | Val ROC-AUC: 0.7145
[Seed 1] Epoch 009 | Train Loss: 2.0904 | Val Loss: 2.0330 | Val AUPRC: 0.0300 | Val ROC-AUC: 0.7160
[Seed 1] Epoch 010 | Train Loss: 2.0869 | Val Loss: 2.0343 | Val AUPRC: 0.0301 | Val ROC-AUC: 0.7159
[Seed 1] Epoch 011 | Train Loss: 2.0890 | Val Loss: 2.0331 | Val AUPRC: 0.0301 | Val ROC-AUC: 0.7173
[Seed 1] Epoch 012 | Train Loss: 2.0900 | Val Loss: 2.0288 | Val AUPRC: 0.0301 | Val ROC-AUC: 0.7184
[Seed 1] Epoch 013 | Train Loss: 2.0891 | Val Loss: 2.0318 | Val AUPRC: 0.0302 | Val ROC-AUC: 0.7176
[Seed 1] Epoch 014 | Train Loss: 2.0906 | Val Loss: 2.0309 | Val AUPRC: 0.0302 | Val ROC-AUC: 0.7176
[Seed 1] Epoch 015 | Train Loss: 2.0902 | Val Loss: 2.0275 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7193
[Seed 1] Epoch 016 | Train Loss: 2.0906 | Val Loss: 2.0294 | Val AUPRC: 0.0302 | Val ROC-AUC: 0.7191
[Seed 1] Epoch 017 | Train Loss: 2.0813 | Val Loss: 2.0289 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7182
[Seed 1] Epoch 018 | Train Loss: 2.0858 | Val Loss: 2.0281 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7191
[Seed 1] Epoch 019 | Train Loss: 2.0891 | Val Loss: 2.0280 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7187
[Seed 1] Epoch 020 | Train Loss: 2.0819 | Val Loss: 2.0302 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7192
