[Seed 5] Epoch 001 | Train Loss: 2.5795 | Val Loss: 2.2473 | Val AUPRC: 0.0178 | Val ROC-AUC: 0.6092
[Seed 5] Epoch 002 | Train Loss: 2.1825 | Val Loss: 2.0787 | Val AUPRC: 0.0265 | Val ROC-AUC: 0.6989
[Seed 5] Epoch 003 | Train Loss: 2.1272 | Val Loss: 2.0616 | Val AUPRC: 0.0292 | Val ROC-AUC: 0.7156
[Seed 5] Epoch 004 | Train Loss: 2.1154 | Val Loss: 2.0562 | Val AUPRC: 0.0307 | Val ROC-AUC: 0.7202
[Seed 5] Epoch 005 | Train Loss: 2.1120 | Val Loss: 2.0492 | Val AUPRC: 0.0311 | Val ROC-AUC: 0.7218
[Seed 5] Epoch 006 | Train Loss: 2.1093 | Val Loss: 2.0448 | Val AUPRC: 0.0309 | Val ROC-AUC: 0.7230
[Seed 5] Epoch 007 | Train Loss: 2.1099 | Val Loss: 2.0424 | Val AUPRC: 0.0309 | Val ROC-AUC: 0.7239
[Seed 5] Epoch 008 | Train Loss: 2.1108 | Val Loss: 2.0462 | Val AUPRC: 0.0307 | Val ROC-AUC: 0.7207
[Seed 5] Epoch 009 | Train Loss: 2.1031 | Val Loss: 2.0465 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7199
[Seed 5] Epoch 010 | Train Loss: 2.1103 | Val Loss: 2.0492 | Val AUPRC: 0.0305 | Val ROC-AUC: 0.7205
[Seed 5] Epoch 011 | Train Loss: 2.1088 | Val Loss: 2.0392 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7245
[Seed 5] Epoch 012 | Train Loss: 2.1108 | Val Loss: 2.0409 | Val AUPRC: 0.0305 | Val ROC-AUC: 0.7234
[Seed 5] Epoch 013 | Train Loss: 2.1010 | Val Loss: 2.0414 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7234
[Seed 5] Epoch 014 | Train Loss: 2.1072 | Val Loss: 2.0416 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7232
[Seed 5] Epoch 015 | Train Loss: 2.1012 | Val Loss: 2.0341 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7265
[Seed 5] Epoch 016 | Train Loss: 2.1040 | Val Loss: 2.0344 | Val AUPRC: 0.0306 | Val ROC-AUC: 0.7269
[Seed 5] Epoch 017 | Train Loss: 2.0951 | Val Loss: 2.0303 | Val AUPRC: 0.0308 | Val ROC-AUC: 0.7268
[Seed 5] Epoch 018 | Train Loss: 2.0977 | Val Loss: 2.0278 | Val AUPRC: 0.0308 | Val ROC-AUC: 0.7263
[Seed 5] Epoch 019 | Train Loss: 2.1038 | Val Loss: 2.0304 | Val AUPRC: 0.0307 | Val ROC-AUC: 0.7267
[Seed 5] Epoch 020 | Train Loss: 2.0974 | Val Loss: 2.0324 | Val AUPRC: 0.0307 | Val ROC-AUC: 0.7254
