[Seed 2] Epoch 001 | Train Loss: 2.3184 | Val Loss: 2.0965 | Val AUPRC: 0.0235 | Val ROC-AUC: 0.6848
[Seed 2] Epoch 002 | Train Loss: 2.1421 | Val Loss: 2.0949 | Val AUPRC: 0.0245 | Val ROC-AUC: 0.6939
[Seed 2] Epoch 003 | Train Loss: 2.1314 | Val Loss: 2.0843 | Val AUPRC: 0.0250 | Val ROC-AUC: 0.6983
[Seed 2] Epoch 004 | Train Loss: 2.1298 | Val Loss: 2.0782 | Val AUPRC: 0.0255 | Val ROC-AUC: 0.7007
[Seed 2] Epoch 005 | Train Loss: 2.1264 | Val Loss: 2.0753 | Val AUPRC: 0.0260 | Val ROC-AUC: 0.7015
[Seed 2] Epoch 006 | Train Loss: 2.1270 | Val Loss: 2.0701 | Val AUPRC: 0.0266 | Val ROC-AUC: 0.7027
[Seed 2] Epoch 007 | Train Loss: 2.1269 | Val Loss: 2.0706 | Val AUPRC: 0.0271 | Val ROC-AUC: 0.7036
[Seed 2] Epoch 008 | Train Loss: 2.1240 | Val Loss: 2.0709 | Val AUPRC: 0.0270 | Val ROC-AUC: 0.7031
[Seed 2] Epoch 009 | Train Loss: 2.1101 | Val Loss: 2.0652 | Val AUPRC: 0.0273 | Val ROC-AUC: 0.7041
[Seed 2] Epoch 010 | Train Loss: 2.1218 | Val Loss: 2.0683 | Val AUPRC: 0.0276 | Val ROC-AUC: 0.7041
[Seed 2] Epoch 011 | Train Loss: 2.1213 | Val Loss: 2.0761 | Val AUPRC: 0.0281 | Val ROC-AUC: 0.7042
[Seed 2] Epoch 012 | Train Loss: 2.1240 | Val Loss: 2.0708 | Val AUPRC: 0.0277 | Val ROC-AUC: 0.7038
[Seed 2] Epoch 013 | Train Loss: 2.1199 | Val Loss: 2.0723 | Val AUPRC: 0.0277 | Val ROC-AUC: 0.7036
[Seed 2] Epoch 014 | Train Loss: 2.1170 | Val Loss: 2.0737 | Val AUPRC: 0.0279 | Val ROC-AUC: 0.7034
[Seed 2] Epoch 015 | Train Loss: 2.1157 | Val Loss: 2.0753 | Val AUPRC: 0.0279 | Val ROC-AUC: 0.7035
[Seed 2] Epoch 016 | Train Loss: 2.1151 | Val Loss: 2.0729 | Val AUPRC: 0.0280 | Val ROC-AUC: 0.7034
[Seed 2] Epoch 017 | Train Loss: 2.1152 | Val Loss: 2.0710 | Val AUPRC: 0.0281 | Val ROC-AUC: 0.7030
[Seed 2] Epoch 018 | Train Loss: 2.1167 | Val Loss: 2.0729 | Val AUPRC: 0.0280 | Val ROC-AUC: 0.7016
[Seed 2] Epoch 019 | Train Loss: 2.1187 | Val Loss: 2.0825 | Val AUPRC: 0.0281 | Val ROC-AUC: 0.7028
[Seed 2] Epoch 020 | Train Loss: 2.1174 | Val Loss: 2.0717 | Val AUPRC: 0.0282 | Val ROC-AUC: 0.7033
