[Seed 5] Epoch 001 | Train Loss: 2.3357 | Val Loss: 2.0192 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6909
[Seed 5] Epoch 002 | Train Loss: 2.0663 | Val Loss: 1.9923 | Val AUPRC: 0.0215 | Val ROC-AUC: 0.6932
[Seed 5] Epoch 003 | Train Loss: 2.0536 | Val Loss: 1.9806 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6936
[Seed 5] Epoch 004 | Train Loss: 2.0457 | Val Loss: 1.9728 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6941
[Seed 5] Epoch 005 | Train Loss: 2.0411 | Val Loss: 1.9744 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6941
[Seed 5] Epoch 006 | Train Loss: 2.0374 | Val Loss: 1.9670 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6943
[Seed 5] Epoch 007 | Train Loss: 2.0328 | Val Loss: 1.9657 | Val AUPRC: 0.0213 | Val ROC-AUC: 0.6938
[Seed 5] Epoch 008 | Train Loss: 2.0342 | Val Loss: 1.9628 | Val AUPRC: 0.0214 | Val ROC-AUC: 0.6945
[Seed 5] Epoch 009 | Train Loss: 2.0295 | Val Loss: 1.9640 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6932
[Seed 5] Epoch 010 | Train Loss: 2.0274 | Val Loss: 1.9600 | Val AUPRC: 0.0213 | Val ROC-AUC: 0.6937
[Seed 5] Epoch 011 | Train Loss: 2.0250 | Val Loss: 1.9612 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6929
[Seed 5] Epoch 012 | Train Loss: 2.0252 | Val Loss: 1.9616 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6932
[Seed 5] Epoch 013 | Train Loss: 2.0253 | Val Loss: 1.9586 | Val AUPRC: 0.0213 | Val ROC-AUC: 0.6934
[Seed 5] Epoch 014 | Train Loss: 2.0194 | Val Loss: 1.9589 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6930
[Seed 5] Epoch 015 | Train Loss: 2.0209 | Val Loss: 1.9652 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6926
[Seed 5] Epoch 016 | Train Loss: 2.0273 | Val Loss: 1.9617 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6926
[Seed 5] Epoch 017 | Train Loss: 2.0267 | Val Loss: 1.9621 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6930
[Seed 5] Epoch 018 | Train Loss: 2.0226 | Val Loss: 1.9639 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6927
[Seed 5] Epoch 019 | Train Loss: 2.0237 | Val Loss: 1.9591 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6932
[Seed 5] Epoch 020 | Train Loss: 2.0213 | Val Loss: 1.9634 | Val AUPRC: 0.0212 | Val ROC-AUC: 0.6928
