[Seed 5] Epoch 001 | Train Loss: 2.6017 | Val Loss: 2.4669 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 002 | Train Loss: 2.3855 | Val Loss: 2.3221 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 003 | Train Loss: 2.2875 | Val Loss: 2.2615 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 004 | Train Loss: 2.2493 | Val Loss: 2.2403 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 005 | Train Loss: 2.2373 | Val Loss: 2.2347 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 006 | Train Loss: 2.2343 | Val Loss: 2.2336 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 007 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 008 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 009 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 010 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 011 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 012 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 013 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 014 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 015 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 016 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 017 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 018 | Train Loss: 2.2338 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 019 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 5] Epoch 020 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
