[Seed 1] Epoch 001 | Train Loss: 2.6000 | Val Loss: 2.4648 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 002 | Train Loss: 2.3836 | Val Loss: 2.3205 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 003 | Train Loss: 2.2868 | Val Loss: 2.2613 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 004 | Train Loss: 2.2493 | Val Loss: 2.2405 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 005 | Train Loss: 2.2375 | Val Loss: 2.2350 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 006 | Train Loss: 2.2345 | Val Loss: 2.2336 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 007 | Train Loss: 2.2339 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 008 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 009 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 010 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 011 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 012 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 013 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 014 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 015 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 016 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 017 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 018 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 019 | Train Loss: 2.2338 | Val Loss: 2.2335 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
[Seed 1] Epoch 020 | Train Loss: 2.2338 | Val Loss: 2.2334 | Val AUPRC: 0.0127 | Val ROC-AUC: 0.5000
