[Seed 3] Epoch 001 | Train Loss: 2.0341 | Val Loss: 1.9182 | Val AUPRC: 0.0303 | Val ROC-AUC: 0.7356
[Seed 3] Epoch 002 | Train Loss: 1.9301 | Val Loss: 1.9004 | Val AUPRC: 0.0330 | Val ROC-AUC: 0.7439
[Seed 3] Epoch 003 | Train Loss: 1.9073 | Val Loss: 1.8957 | Val AUPRC: 0.0329 | Val ROC-AUC: 0.7448
[Seed 3] Epoch 004 | Train Loss: 1.8867 | Val Loss: 1.8877 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7466
[Seed 3] Epoch 005 | Train Loss: 1.8810 | Val Loss: 1.8841 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7473
[Seed 3] Epoch 006 | Train Loss: 1.8812 | Val Loss: 1.8817 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7478
[Seed 3] Epoch 007 | Train Loss: 1.8710 | Val Loss: 1.8828 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7476
[Seed 3] Epoch 008 | Train Loss: 1.8672 | Val Loss: 1.8791 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7483
[Seed 3] Epoch 009 | Train Loss: 1.8636 | Val Loss: 1.8776 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7487
[Seed 3] Epoch 010 | Train Loss: 1.8622 | Val Loss: 1.8760 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7505
[Seed 3] Epoch 011 | Train Loss: 1.8524 | Val Loss: 1.8724 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7505
[Seed 3] Epoch 012 | Train Loss: 1.8545 | Val Loss: 1.8799 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7513
[Seed 3] Epoch 013 | Train Loss: 1.8479 | Val Loss: 1.8783 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7492
[Seed 3] Epoch 014 | Train Loss: 1.8512 | Val Loss: 1.8728 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7510
[Seed 3] Epoch 015 | Train Loss: 1.8473 | Val Loss: 1.8718 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7519
[Seed 3] Epoch 016 | Train Loss: 1.8444 | Val Loss: 1.8754 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7508
[Seed 3] Epoch 017 | Train Loss: 1.8462 | Val Loss: 1.8754 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7524
[Seed 3] Epoch 018 | Train Loss: 1.8388 | Val Loss: 1.8669 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7524
[Seed 3] Epoch 019 | Train Loss: 1.8383 | Val Loss: 1.8660 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7527
[Seed 3] Epoch 020 | Train Loss: 1.8385 | Val Loss: 1.8660 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7525
