[Seed 4] Epoch 001 | Train Loss: 2.0402 | Val Loss: 1.9196 | Val AUPRC: 0.0312 | Val ROC-AUC: 0.7356
[Seed 4] Epoch 002 | Train Loss: 1.9307 | Val Loss: 1.8962 | Val AUPRC: 0.0325 | Val ROC-AUC: 0.7421
[Seed 4] Epoch 003 | Train Loss: 1.9013 | Val Loss: 1.8957 | Val AUPRC: 0.0331 | Val ROC-AUC: 0.7447
[Seed 4] Epoch 004 | Train Loss: 1.8903 | Val Loss: 1.8866 | Val AUPRC: 0.0335 | Val ROC-AUC: 0.7452
[Seed 4] Epoch 005 | Train Loss: 1.8782 | Val Loss: 1.8885 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7472
[Seed 4] Epoch 006 | Train Loss: 1.8753 | Val Loss: 1.8888 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7496
[Seed 4] Epoch 007 | Train Loss: 1.8698 | Val Loss: 1.8778 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7485
[Seed 4] Epoch 008 | Train Loss: 1.8614 | Val Loss: 1.8762 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7501
[Seed 4] Epoch 009 | Train Loss: 1.8614 | Val Loss: 1.8805 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7506
[Seed 4] Epoch 010 | Train Loss: 1.8584 | Val Loss: 1.8734 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7506
[Seed 4] Epoch 011 | Train Loss: 1.8557 | Val Loss: 1.8760 | Val AUPRC: 0.0346 | Val ROC-AUC: 0.7510
[Seed 4] Epoch 012 | Train Loss: 1.8506 | Val Loss: 1.8738 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7511
[Seed 4] Epoch 013 | Train Loss: 1.8525 | Val Loss: 1.8708 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7515
[Seed 4] Epoch 014 | Train Loss: 1.8494 | Val Loss: 1.8710 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7526
[Seed 4] Epoch 015 | Train Loss: 1.8469 | Val Loss: 1.8700 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7521
[Seed 4] Epoch 016 | Train Loss: 1.8459 | Val Loss: 1.8713 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7516
[Seed 4] Epoch 017 | Train Loss: 1.8417 | Val Loss: 1.8785 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7525
[Seed 4] Epoch 018 | Train Loss: 1.8436 | Val Loss: 1.8661 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7525
[Seed 4] Epoch 019 | Train Loss: 1.8424 | Val Loss: 1.8645 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7521
[Seed 4] Epoch 020 | Train Loss: 1.8373 | Val Loss: 1.8640 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7526
