[Seed 2] Epoch 001 | Train Loss: 2.0129 | Val Loss: 1.9110 | Val AUPRC: 0.0316 | Val ROC-AUC: 0.7389
[Seed 2] Epoch 002 | Train Loss: 1.9166 | Val Loss: 1.8998 | Val AUPRC: 0.0334 | Val ROC-AUC: 0.7439
[Seed 2] Epoch 003 | Train Loss: 1.9025 | Val Loss: 1.8876 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7466
[Seed 2] Epoch 004 | Train Loss: 1.8876 | Val Loss: 1.8818 | Val AUPRC: 0.0341 | Val ROC-AUC: 0.7476
[Seed 2] Epoch 005 | Train Loss: 1.8824 | Val Loss: 1.8820 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7482
[Seed 2] Epoch 006 | Train Loss: 1.8708 | Val Loss: 1.8780 | Val AUPRC: 0.0342 | Val ROC-AUC: 0.7498
[Seed 2] Epoch 007 | Train Loss: 1.8664 | Val Loss: 1.8746 | Val AUPRC: 0.0343 | Val ROC-AUC: 0.7495
[Seed 2] Epoch 008 | Train Loss: 1.8679 | Val Loss: 1.8689 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7503
[Seed 2] Epoch 009 | Train Loss: 1.8581 | Val Loss: 1.8696 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7511
[Seed 2] Epoch 010 | Train Loss: 1.8554 | Val Loss: 1.8695 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7512
[Seed 2] Epoch 011 | Train Loss: 1.8561 | Val Loss: 1.8665 | Val AUPRC: 0.0344 | Val ROC-AUC: 0.7513
[Seed 2] Epoch 012 | Train Loss: 1.8569 | Val Loss: 1.8703 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7512
[Seed 2] Epoch 013 | Train Loss: 1.8502 | Val Loss: 1.8696 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7529
[Seed 2] Epoch 014 | Train Loss: 1.8476 | Val Loss: 1.8681 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7526
[Seed 2] Epoch 015 | Train Loss: 1.8484 | Val Loss: 1.8650 | Val AUPRC: 0.0350 | Val ROC-AUC: 0.7528
[Seed 2] Epoch 016 | Train Loss: 1.8433 | Val Loss: 1.8762 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7524
[Seed 2] Epoch 017 | Train Loss: 1.8431 | Val Loss: 1.8651 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7539
[Seed 2] Epoch 018 | Train Loss: 1.8430 | Val Loss: 1.8687 | Val AUPRC: 0.0351 | Val ROC-AUC: 0.7525
[Seed 2] Epoch 019 | Train Loss: 1.8380 | Val Loss: 1.8662 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7528
[Seed 2] Epoch 020 | Train Loss: 1.8386 | Val Loss: 1.8625 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7536
